,Country_name,VSF nr,ISO,LULUCF,emissions_target_year,annualised_geometric_ambition,total_ambition,Unit
26,Brazil,22,BRA,incl,1224.0081383519837,0.031147053052163143,482.53185504801627,Mt CO2 equivalent
33,Canada,33,CAN,excl,424.764,0.03529764577532535,298.9152904,Mt CO2 equivalent
38,Chile,39,CHL,excl,95.0,0.011166249674056772,13.197755799999996,Mt CO2 equivalent
39,China,40,CHN,incl,13744.6519334415,-0.006163416722274162,-1497.4803919245005,Mt CO2 equivalent
45,Costa Rica,47,CRI,incl,9.11,0.011916815655997892,3.404369691662172,Mt CO2 equivalent
88,India,90,IND,incl,4445.399503181265,-0.0680577510714615,-1511.8545830812645,Mt CO2 equivalent
89,Indonesia,91,IDN,incl,1954.0759,-0.007295288640047692,-76.26520099999993,Mt CO2 equivalent
93,Israel,95,ISR,excl,58.0,0.030963411857560352,27.636092000000005,Mt CO2 equivalent
96,Japan,99,JPN,incl,808.0200000000001,0.027471472762737426,349.0224839199999,Mt CO2 equivalent
102,South Korea,104,KOR,incl,436.56,0.031412680614582245,234.14029473,Mt CO2 equivalent
119,Maldives,120,MDV,excl,2.4419999999999997,0.00043922002608742794,-0.09074819999999972,Mt CO2 equivalent
126,Mexico,126,MEX,incl,661.5846330879418,-0.045887552903050355,-133.31229618914176,Mt CO2 equivalent
128,Moldova,129,MDA,incl,11.250000000000002,0.019207446105590664,2.515954999999998,Mt CO2 equivalent
141,New Zealand,142,NZL,excl,57.1,0.02571688667987826,22.889559999999996,Mt CO2 equivalent
163,Russian Federation,167,RUS,incl,2160.5919999999996,-0.03770074724319783,-574.5762959999997,Mt CO2 equivalent
173,Singapore,181,SGP,incl,65.0,-0.03141723290744747,-12.94486581527093,Mt CO2 equivalent
178,South Africa,186,ZAF,incl,420.0,0.009555838559790919,67.744025999999,Mt CO2 equivalent
210,United States,214,USA,incl,3281.169234363995,0.03912812684977829,2632.7025535360044,Mt CO2 equivalent
